scenario,status,water_vapor_preset,modtran_atm,modtran_aer,use_aerosol,default_visibility,dem_ground_percentile,ground_elevation_km,neg_band_1,neg_band_2,neg_band_3,neg_band_4,neg_band_5,neg_band_6,neg_band_7,neg_band_8,neg_avg,flaash_output
baseline_initial,ok,0.9541,Mid-Latitude Summer,Maritime,Disabled,,100.0,2.5196533203125,0.9901824253958753,0.9029069068738093,19.92270699470794,24.609844168313938,28.1224343790499,40.16022055569571,43.88642427979519,43.681062666137066,25.28447279699618,/mnt/d/test_data/flaash_matrix/baseline_initial/17OCT19211717-M1BS-050311750010_01_P001_FLAASH.dat
maritime_auto_30km,ok,0.9541,Mid-Latitude Summer,Maritime,Automatic Selection,30.0,100.0,2.5196533203125,2.4238222083190673,18.241943849295954,43.43533643714693,44.521059920261344,45.23153648564424,46.20035593239744,46.92604095418075,47.1606946878663,36.767598809389,/mnt/d/test_data/flaash_matrix/maritime_auto_30km/17OCT19211717-M1BS-050311750010_01_P001_FLAASH.dat
highvis_rural_disabled,ok,0.9541,Mid-Latitude Summer,High-Visibility Rural,Disabled,,100.0,2.5196533203125,1.1651631818735297,0.9828746941531201,20.317584960192967,23.11531951606073,25.203450634060324,37.76105020361719,42.21602596275858,40.82064446436159,23.947764202134753,/mnt/d/test_data/flaash_matrix/highvis_rural_disabled/17OCT19211717-M1BS-050311750010_01_P001_FLAASH.dat
lowvis_rural_disabled,ok,0.9541,Mid-Latitude Summer,Low-Visibility Rural,Disabled,,100.0,2.5196533203125,1.1651631818735297,0.9828746941531201,20.317584960192967,23.11531951606073,25.203450634060324,37.76105020361719,42.21602596275858,40.82064446436159,23.947764202134753,/mnt/d/test_data/flaash_matrix/lowvis_rural_disabled/17OCT19211717-M1BS-050311750010_01_P001_FLAASH.dat
tropical_maritime_disabled,ok,0.9541,Tropical Atmosphere,Maritime,Disabled,,100.0,2.5196533203125,1.0365394269576556,0.9441126191254309,20.921002089431674,26.09882697481413,28.698902408172195,40.29669989261447,43.92840756338083,43.726721094217176,25.706401508589195,/mnt/d/test_data/flaash_matrix/tropical_maritime_disabled/17OCT19211717-M1BS-050311750010_01_P001_FLAASH.dat
tropical_tropo_auto_20km,ok,0.9541,Tropical Atmosphere,Tropospheric,Automatic Selection,20.0,100.0,2.5196533203125,14.779531426948914,27.420810800856867,47.31075085720502,46.24537201378291,45.59529684641658,45.738190346437854,46.16512658559972,45.74031684876585,39.874424465751716,/mnt/d/test_data/flaash_matrix/tropical_tropo_auto_20km/17OCT19211717-M1BS-050311750010_01_P001_FLAASH.dat
